id,user_id,item,created_at,revenue
c11232af-7044-4436-8454-934d040bd29a,c7088172-07fb-4558-97c7-390274656847,Wine - Red Oakridge Merlot,2022-03-21,4.35
d16b0974-c599-4fcf-912f-c11de411bf50,7d3ee1d3-bb7a-4c62-9a63-568b336ced61,Yeast Dry - Fermipan,2021-12-27,1.66
a23a9cd9-62fc-4a5a-ba86-48157fe4cebe,1b3eef83-ef15-4bbc-a0e1-33aa34923b52,Appetizer - Assorted Box,2021-09-05,9.84
ebd6f153-2f31-42c1-b1a8-dead59e99d17,ee756757-a209-49d0-a30e-9b73046d9932,Ostrich - Fan Fillet,2021-08-18,3.56
09d4e24d-12c4-4321-97dd-b2f0ccc19901,b7a878a2-8899-42f3-baba-ce1fa868bc14,Bread - Calabrese Baguette,2022-03-27,8.95
d24e4b6b-9778-4db4-b8da-f9b77db11648,685855fd-fc31-46cd-8fae-41930cf2738e,Lady Fingers,2021-09-15,7.21
fd6e00e1-f054-4ada-81d9-b08ce33e178f,685855fd-fc31-46cd-8fae-41930cf2738e,Buffalo - Short Rib Fresh,2022-01-06,3.18
e026fc50-1888-419a-b7c6-e14b178e5a04,685855fd-fc31-46cd-8fae-41930cf2738e,Pastry - Mini French Pastries,2022-02-28,8.73
23744949-e131-41ce-87bf-4bd1bda7273c,2ba66a5e-a1b0-4441-a72f-24249df11114,"Juice - Grape, White",2022-02-24,8.01
e72e79ae-8ea8-4f23-be43-e3ca12b862b6,0b529768-c34b-4684-8239-71e15c66e83c,Tea - Grapefruit Green Tea,2022-02-17,6.55
c2781450-08ad-4d77-a717-25dfb1fb56c5,942c2c79-3b75-4c6d-ba25-767983aadee0,French Kiss Vanilla,2022-05-18,8.25
1194692b-4e4e-4ce0-b994-609769c42fd9,b4916d4b-5e7f-4b5a-8326-a82e269239ad,Arctic Char - Fillets,2022-01-07,8.89
f02ee584-955d-47da-b5f0-0420d097655a,d6349365-a730-4ca2-b3a2-84b55a2c6aa2,"Wine - Red, Pelee Island Merlot",2021-12-16,8.72
5f710572-26a7-49ec-a237-41139a7da13b,b969aece-2269-4c15-a802-63a6e7e4736d,"7up Diet, 355 Ml",2021-07-13,1.13
29179f39-1fb9-4133-b1f6-f34bec215779,c7088172-07fb-4558-97c7-390274656847,"Salmon - Atlantic, Skin On",2022-03-24,7.24
7bef8078-82da-4c0e-a75b-085bf6f2afd0,1f4248dd-2ffe-4197-ae65-d59ee5387b05,Vinegar - Sherry,2022-04-14,7.48
f86b43cc-54c5-49df-92cc-4d1c55e65b78,8ccc3464-c2df-407e-ac6b-0ed76dccdd9c,"Pasta - Elbows, Macaroni, Dry",2021-09-02,9.63
6cd8be86-dad1-4596-a32c-3fedcfac8810,26adc0d2-cf38-4103-8e2f-9cd7761a8829,Urban Zen Drinks,2021-09-25,9.53
b0eda784-26b0-4e9d-82b8-0f3b1dea03c3,aa21d269-3b10-4543-b4d6-cc69c29b44db,Sausage - Liver,2022-01-12,8.52
0431d756-913e-4998-ad63-75346f1dd673,cd75af48-0f11-4061-86f8-b31e333bae8b,Lettuce - Lambs Mash,2022-03-20,6.15
13ec4f6a-3a83-4ff4-948c-f9ec55707790,cd75af48-0f11-4061-86f8-b31e333bae8b,Sobe - Tropical Energy,2021-07-19,8.88
813f478e-a7ff-4f35-9a22-70ef8428e021,a944b676-bee5-4937-bffa-26b64e008aac,Wine - Valpolicella Masi,2021-08-12,6.51
79500dea-e0bc-4865-b5b9-acbb0f8f7de4,a944b676-bee5-4937-bffa-26b64e008aac,Basil - Seedlings Cookstown,2021-08-13,8.85
48fb40e9-53f1-4eb8-bd39-034b404689d3,35b02bc2-0dda-4058-ad39-b86bb125d8dd,Lemon Balm - Fresh,2022-02-28,1.8
2532cd48-83d0-4f86-b13f-a4370ae22154,22d24715-5ac8-4c0c-b8aa-d1d60f7b3660,Lamb - Loin Chops,2021-09-15,6.26
0465d8b5-ab65-4734-99f1-4eb6df343dfa,a5e331e8-57d3-4d48-89eb-439f2a4b6ced,Dc - Sakura Fu,2021-12-29,8.18
992a3409-331a-479b-981c-f07334664a3e,2fae0313-3acd-4e49-b4a9-c04b05ae87d1,Seabream Whole Farmed,2022-04-17,1.0
2f150dbc-db6c-4c5c-85ff-08932c575418,558bdfb8-e722-4aaf-b13e-ee3d87972086,Soup - Campbells Mac N Cheese,2021-12-05,2.45
0864fdd8-e9db-44c2-8081-463422351d32,558bdfb8-e722-4aaf-b13e-ee3d87972086,Beef - Ox Tongue,2022-12-12,5.19
e1d849a2-ecb1-47ed-9f9c-155b388c9e41,34be81f5-e6f4-4cc8-a38b-5786e7cf3559,Corn - On The Cob,2021-10-21,7.9
